Title,genres,rating,topcast,details
Льюис и Кларк: Путешествие трупов с Дискавери (1997) ,Documentary Adventure Biography ,8.5,"Ken Burns, Ken Burns, Dayton Duncan"," Official Sites: PBS [United States]    Country: USA  Language: English  Release Date: 4 November 1997 (USA)             Also Known As: Льюис и Кларк: Путешествие трупов с Дискавери                 Production Co:  American Lives Film Project, Florentine Films, WETA                    Runtime: 240 min  Sound Mix: Ultra Stereo  Color: Color  Aspect Ratio: 1.33 : 1     "
Hitman Hart: Wrestling with Shadows (1998) ,Documentary Biography Sport ,8.1,"Paul Jay, Paul Jay, Bret Hart"," Official Sites: official site    Country: USA , Canada  Language: English  Release Date: 20 December 1998 (USA)             Also Known As: Hitman Hart: Wrestling z cieniami                 Filming Locations: Calgary, Alberta, Canada  Production Co:  High Road Productions, National Film Board of Canada (NFB), TVOntario                    Runtime: 93 min  Color: Color  Aspect Ratio: 1.33 : 1     "
"Versailles, le rêve d'un roi (2008) ",Documentary Biography Drama ,7.5,"Thierry Binisti, Jacques Dubuisson, Michel Fessler"," Country: France  Language: French  Release Date: 3 January 2008 (France)             Also Known As: Versailles: The Dream of a King                 Filming Locations: Chateau de Versailles, Versailles, Yvelines, France           Production Co:  Les Films d'Ici, France 2 (FR2), Château de Versailles                    Runtime: 180 min             (3 parts)           , 91 min             (TV)             (2009)      Color: Color "
MR James: Ghost Writer (2013) ,Documentary Biography ,7.5,"John Das, Mark Gatiss, Mark Gatiss"," Official Sites: Official site    Country: UK  Language: English  Release Date: 25 December 2013 (UK)             Also Known As: M.R. James: Ghost Writer                 Filming Locations: Saint-Bertrand-de-Comminges, Haute-Garonne, France           Production Co:  BBC Bristol                    Runtime: 60 min  Color: Color "
Hugh Grant: A Life on Screen (2019) ,Documentary Biography ,6.6,"Samantha Peters, Sandra Bullock, Nicholas Hoult"," Country: UK  Language: English  Release Date: 23 December 2019 (UK)             Production Co:  BAFTA Productions, Whizz Kid Entertainment                    Runtime: 59 min  Color: Color "
Marilyn Monroe: The Final Days (2001) ,Documentary Biography ,7.8,"Patty Ivins Specht, Monica Bider, James Coburn"," Country: USA  Language: English  Release Date: 1 June 2001 (USA)             Also Known As: Marilyn Monroe: Ostatnie dni                 Production Co:  Prometheus Entertainment, Van Ness Films, Foxstar Productions                    Runtime: 90 min , 117 min             (DVD)      Sound Mix: Stereo  Color: Color  Aspect Ratio: 1.37 : 1     "
21 Up (1977) ,Documentary Biography ,8.1,"Michael Apted, Bruce Balden, Jacqueline Bassett", Country: UK  Language: English  Release Date: 9 May 1977 (UK)             Also Known As: 21 год                 Production Co:  Granada Television                    Runtime: 100 min  Sound Mix: Mono  Color: Color  Aspect Ratio: 1.33 : 1     
"Freddie Mercury, the Untold Story (2000) ",Documentary Biography Music ,8.2,"Rudi Dolezal, Hannes Rossacher, Simon Witter"," Country: UK , Germany  Language: English  Release Date: 8 December 2000 (UK)             Also Known As: A Verdadeira História de Freddie Mercury                 Production Co:  ARTE, DoRo Produktion, Zweites Deutsches Fernsehen (ZDF)                    Runtime: 59 min , 111 min             (DVD)      Sound Mix: Stereo  Color: Color "
Glen Campbell: The Rhinestone Cowboy (2013) ,Documentary Biography Music ,7.2,"Steve Freer, The Campbell Clan, Gerard Campbell", Country: UK  Language: English  Release Date: 18 January 2013 (UK)             Production Co:  BBC Cymru Wales                    Runtime: 59 min  Color: Color 
Pariah: The Lives and Deaths of Sonny Liston (2019) ,Documentary Biography Crime ,7.4,"Simon George, Shaun Assael, Simon George"," Official Sites: SHOWTIME    Country: UK , South Africa , USA  Language: English  Release Date: 24 July 2020 (UK)             Production Co:  Raw TV, Trilogy Creative Studios                    Runtime: 90 min  Color: Color "
