Title,genres,rating,topcast,details
Undersea Treasures: Napoleon's Lost Fleet (1999) ,Documentary Biography History ,6.5,"Christopher Rowley, Siobhan Flanagan, Donald Sutherland"," Country: Canada  Language: English , French  Release Date: 6 February 2000 (Germany)             Also Known As: ZDF Expedition: Tauchfahrt in die Vergangenheit - Napoleons versunkene Flotte                 Filming Locations: Egypt           Production Co:  CineNova Productions Inc.                    Runtime: 45 min             (documentary)      Sound Mix: Stereo  Color: Color "
Alfred Nobel - Mr. Dynamite (1983) ,Documentary Biography ,7.7,"Olle Häger, Hans Villius, Olle Häger"," Country: Sweden  Language: Swedish  Release Date: 7 December 1983 (Sweden)             Production Co:  Sveriges Television (SVT)                    Runtime: 35 min  Color:  Black and White (archive footage), Color  Aspect Ratio: 4:3     "
Arnold Schwarzenegger: A VH1 Popumentary (2004) ,Documentary Biography ,7.2,"Drew Daywalt, David Schneider, Jed Elinoff"," Official Sites: vh1 , vh1    Country: USA  Language: English  Release Date: 31 August 2004 (USA)             Also Known As: Arnold: Unauthorized                          Runtime: 60 min  Color: Color "
Night Bird Song: the Incandescent Life of Thomas Chapin - 90 (2016) ,Documentary Biography Music ,not rated,"Stephanie J. Castillo, Stephanie J. Castillo, Noel Izon"," Official Sites: Official site    Country: USA , France , Germany , Italy , Netherlands  Language: English           Runtime: 89 min  Color: Color "
"André Téchiné, cinéaste insoumis (2018) ",Documentary Biography ,not rated,"Thierry Klifa, Thierry Klifa, André Téchiné"," Country: France  Language: French  Release Date: 2018 (France)             Production Co:  ARTE, Kcraft & Co.                    Runtime: 53 min  Color: Color  Aspect Ratio: 16 : 9     "
"Ouliana Lopatkina, une étoile russe (2014) ",Documentary Biography ,6.9,"Marlène Ionesco, Uliana Lopatkina, Jean-Guillaume Bart"," Official Sites: Official site [Japan]    Country: France  Language: Russian , French , English  Release Date: 21 November 2014 (France)             Also Known As: Ouliana Lopatkina, la divine                 Filming Locations: Opéra National de Paris Palais Garnier, 8 rue Scribe, Paris 9, Paris, France           Production Co:  Delange Production, Mezzo                    Runtime: 90 min  Color: Color  Aspect Ratio: 16 : 9     "
Philip Larkin: Love and Death in Hull (2003) ,Documentary Biography ,6.0,"James Kent, Nicolas Kent"," Country: UK  Language: English  Release Date: 6 July 2003 (UK)             Filming Locations: Kingston upon Hull, East Riding of Yorkshire, England, UK  Production Co:  Oxford Film & Television                    Runtime: 60 min  Color: Color "
Joe DiMaggio: The Final Chapter (2000) ,Documentary Biography Sport ,6.8,"Marino Amoruso, Marino Amoruso, Yogi Berra", Country: USA  Language: English  Release Date: 2000 (USA)             Production Co:  NSE Films                    Color: Color 
Arthur Ashe: Citizen of the World (1994) ,Documentary Biography Sport ,8.4,"Julie Anderson, Frank Deford, Maya Angelou"," Country: USA  Language: English  Release Date: 27 September 1994 (USA)             Production Co:  HBO Sports                    Runtime: 59 min  Sound Mix: Stereo  Color:  Black and White , Color "
Glenn Miller: America's Musical Hero (1992) ,Documentary Biography History ,6.6,"Don McGlynn, Henry Mancini, Glenn Miller", Country: USA          
Einstein's Wife (2003) ,Documentary Biography History ,7.0,"Nicola Woolmington, Geraldine Hilton, Melita Jurisic"," Official Sites: PBS [United States]    Country: Australia  Language: English  Release Date: 21 October 2003 (USA)             Filming Locations: Australia           Production Co:  Australian Broadcasting Corporation (ABC), Melsa Films, Oregon Public Broadcasting                    Color: Color "
All About Desire: The Passionate Cinema of Pedro Almodovar (2001) ,Documentary Biography ,5.2,"Nick Cory Wright, Stephen Frears, Victoria Abril", Country: UK  Language: English  Release Date: 22 December 2001 (UK)             Also Known As: All About Desire                 Production Co:  Illuminations                    Runtime: 49 min  Color: Color 
Prince Andrew and Scandal in the Royal House of York (2019) ,Documentary Biography Crime ,6.3,"Sam Budd, Lucy Johnstone, Glynis Barber"," Official Sites: Channel 5 [United Kingdom]    Country: UK  Language: English  Release Date: 5 October 2019 (UK)             Production Co:  ITN Productions, Channel 5 Television                    Runtime: 80 min  Sound Mix: Mono (archive footage), Stereo  Color: Color ,  Black and White (archive footage)    "
Laskarina Bouboulina (2000) ,Documentary Biography History ,not rated,"Nikoletta Gouli, Nikoletta Gouli, Evangelia Adreadaki"," Country: Greece  Language: Greek  Release Date: 2000 (Greece)             Production Co:  CL Productions, Hellenic Radio & Television (ERT)                    Runtime: 50 min  Color: Color "
Neil Diamond: The Making of 'The Movie Album' (1998) ,Documentary Biography Music ,not rated,"Lawrence Jordan, Elmer Bernstein, Neil Diamond", Country: USA  Language: English  Release Date: 4 November 1998 (USA)             Production Co:  Automatic Productions                    Color: Color 
Philip Johnson: Diary of an Eccentric Architect (1997) ,Documentary Biography ,6.9,-," Country: USA  Language: English  Release Date: 31 August 1997 (USA)             Filming Locations: New Canaan, Connecticut, USA  Production Co:  Checkerboard Library                    Color: Color "
De Gaulle: histoire d'un géant (2020) ,Documentary Biography History ,6.8,"Jean-Pierre Cottet, Jean-Pierre Cottet, Patrice Duhamel"," Country: France  Language: French  Release Date: 3 November 2020 (France)             Also Known As: De Gaulle: A Giant Among Men                 Production Co:  France Télévisions, Martange Production                    Runtime: 112 min  Color: Color "
I huvet på Per Åhlin (2019) ,Documentary Biography ,5.6,"Henrik Ahnborg, Theresa Traoré Dahlberg, Mattias Oscarsson", Official Sites: SVT    Country: Sweden  Language: Swedish  Release Date: 10 November 2019 (Sweden)             Production Co:  SVT-1                    Runtime: 59 min             (original)      Color: Color  Aspect Ratio: 16:9 HD     
"Willy Ronis, les combats d'un photographe (2020) ",Documentary Biography ,not rated,"Vladimir Vasak, Vladimir Vasak, Gabrielle de la Selle", Country: France  Language: French  Release Date: 6 July 2020 (France)             Also Known As: Willy Ronis - Pariser Fotograf und Humanist                 Production Co:  Day For Night Productions                    Runtime: 54 min  Color: Color  Aspect Ratio: 16 : 9     
Doddie Weir: One More Try (2019) ,Documentary Biography Sport ,not rated,-, Official Sites: BBC Website    Country: UK  Language: English  Release Date: 6 December 2019 (UK)             Production Co:  BBC Scotland                    Runtime: 58 min  Color: Color 
The Two Ronnies: In Their Own Words (2018) ,Documentary Biography Comedy ,not rated,"Liam Carroll, Clive Anderson, Eamonn Andrews"," Official Sites: Channel 5 [United Kingdom]    Country: UK  Language: English  Release Date: 1 January 2018 (UK)             Production Co:  ITN Productions, Channel 5 Television                    Runtime: 120 min  Sound Mix: Stereo , Mono (archive footage)     Color: Color ,  Black and White (archive footage)    "
Life of Python (1990) ,Documentary Biography Comedy ,7.6,"Mark Redhead, Dan Aykroyd, Dudley Moore"," Country: UK  Language: English  Release Date: 1990 (UK)             Also Known As: Life of Python: Monty Python 20th Anniversary Omnibus                 Production Co:  Tiger Aspect Productions                    Runtime: 57 min  Sound Mix: Stereo  Color:  Black and White (archive footage), Color  Aspect Ratio: 1.33 : 1     "
Jefferson Davis: An American President (2008) ,Documentary Biography ,9.0,"Brian Gary, Brian Gary, Wendi Berman"," Official Sites: Official site    Country: USA  Language: English  Release Date: 3 June 2008 (USA)             Filming Locations: Alabama, USA           Production Co:  Flying Chaucer Films, Rosemont Pictures                    Sound Mix: Stereo  Color: Color  Aspect Ratio: 1.78 : 1     "
Black Jack Pershing: Love and War (2017) ,Documentary Biography History ,8.8,"Bernard McCoy, Bernard McCoy, John J. Pershing"," Official Sites: Black Jack Pershing: Love and War website , Official site    Country: USA  Language: English  Filming Locations: San Francisco, California, USA                    Runtime: 57 min  Color: Color "
Generatia LaLa: de la serial la fenomen (2012) ,Documentary Biography ,not rated,"Radu Grigore, Radu Grigore, Alina Eremia", Country: Romania  Language: Romanian  Release Date: 2 December 2012 (Romania)             Production Co:  Media Pro Pictures                    Runtime: 60 min  Color: Color 
The Seven Sages of Antiquity (2010) ,Documentary Biography History ,5.8,"Giorgos Petritsis, Giorgos Petritsis, Robert MacLean"," Official Sites: Official site    Country: Greece  Language: English  Release Date: 2018 (USA)             Filming Locations: Athens, Greece           Production Co:  GP Productions                    Runtime: 52 min  Sound Mix: Stereo  Color: Color  Aspect Ratio: 1.78 : 1     "
The Caged Bird: The Life and Music of Florence B. Price             ,Documentary Biography History ,not rated,-," Official Sites: Official website for ""The Caged Bird"" documentary    Country: USA  Language: English           Runtime: 57 min  Color: Color "
I Was a Network Star (2006) ,Documentary Biography ,6.9,"Debbie Allen, Debbie Allen, Debbie Allen"," Country: USA  Language: English  Release Date: 10 September 2006 (USA)             Budget:$60,000,000             (estimated)           Runtime: 75 min             (DVD)      Sound Mix: Dolby Digital  Color: Color (Technicolor)    "
Hilary Hahn - Evolution of an Artist (2020) ,Documentary Biography Music ,not rated,"Benedict Mirow, Dorothee Binding, Hilary Hahn", Country: Germany  Language: German  Release Date: 8 November 2020 (Germany)             Production Co:  NIGHTFROG GmbH                    Runtime: 52 min  Color: Color  Aspect Ratio: 16 : 9     
Giorgio Ambrosoli - Il prezzo del coraggio (2019) ,Documentary Biography ,not rated,"Alessandro Celli, Ivan Russo, Pietro Calderoni"," Official Sites: Stand by me    Country: Italy  Language: Italian  Release Date: 18 December 2019 (Italy)             Production Co:  Rai Fiction, Stand By Me                    Runtime: 91 min  Color: Color "
Oliver Stone: Inside Out (1992) ,Documentary Biography ,5.6,"Steven Fischler, Joel Sucher, Kevin Bacon", Country: USA  Language: English           Sound Mix: Stereo  Color: Color 
Hitler's Pawn: The Margaret Lambert Story (2004) ,Documentary Biography Sport ,7.3,"George Roy, Erik Kesten, Steven Hilliard Stern"," Official Sites: HBO    Country: USA  Language: English , German  Release Date: 14 July 2004 (USA)             Production Co:  HBO Sports, Black Canyon Productions, Clear Channel Entertainment Television                    Color: Color "
Rage and Betrayal: The Lives of Tim McVeigh and Terry Nichols (1996) ,Documentary Biography ,not rated,"Roger Goodman, Mark Atkinson, Peter Jennings", Country: USA  Language: English           Runtime: 89 min  Color: Color 
Long Live the New Flesh: The Films of David Cronenberg (1987) ,Documentary Biography ,7.4,"Laurens C. Postma, Laurens C. Postma, David Cronenberg"," Country: UK  Release Date: 9 February 1987 (UK)             Filming Locations: Toronto, Ontario, Canada           Production Co:  Victor Solnicki Productions                    Runtime: 50 min "
Salute to Sir Lew - The Master Showman (1975) ,Documentary Biography ,8.1,"Dave Wilson, Lew Grade, Dave Allen", Country: UK  Language: English  Release Date: 18 April 1975 (UK)             Production Co:  Associated Television (ATV)                    Sound Mix: Mono  Color: Color  Aspect Ratio: 1.33 : 1     
The Men Who Made the Movies: William A. Wellman (1973) ,Documentary Biography ,6.9,"Richard Schickel, William A. Wellman, Robert Wagner"," Country: USA  Language: English  Release Date: December 2007 (USA)                      Sound Mix: Mono  Color:  Black and White , Color  Aspect Ratio: 1.33 : 1     "
"Gutenberg, l'aventure de l'imprimerie (2017) ",Documentary Biography History ,7.8,"Marc Jampolsky, Marc Jampolsky, Eric Morfaux"," Official Sites: Official site    Country: France , Austria  Language: French  Release Date: 12 May 2018 (Italy)             Also Known As: L'Enigme Gutenberg                 Filming Locations: Écomusée, Ungersheim, Haut-Rhin, France           Production Co:  Seppia Production, C.F.R.T., Mischief Films                    Runtime: 90 min  Color: Color "
Ian Dury X. (1983) ,Documentary Biography ,not rated,"Franco Rosso, Ian Dury, Franco Rosso"," Official Sites: Official website    Country: UK  Language: English  Release Date: 1983 (UK)             Production Co:  Cobra Films                    Runtime: 52 min             (original)      Color: Color ,  Black and White "
"Didier Deschamps, les secrets d'une légende (2018) ",Documentary Biography Sport ,not rated,"Timothée Vienne, Didier Deschamps, Christophe Barbier"," Country: France  Language: French , Italian  Release Date: 5 September 2018 (France)             Production Co:  La Concepteria                    Color: Color "
Irving Thalberg: Prince of Hollywood (2005) ,Documentary Biography ,7.8,"Robert Trachtenberg, Robert Trachtenberg, Michael F. Blake", Country: USA  Language: English  Release Date: 1 February 2005 (USA)             Production Co:  Turner Entertainment                    Color: Color 
Delblanc (1996) ,Documentary Biography ,not rated,"Lars Helander, Sven Delblanc, Lars Helander", Official Sites: Official website    Country: Sweden  Language: Swedish  Release Date: 5 January 1996 (Sweden)             Production Co:  SVT Kultur                    Runtime: 60 min             (original)      Color: Color 
In Search of Steve Ditko (2007) ,Documentary Biography ,7.7,"Peter Boyd Maclean, Jonathan Ross, Paul Gambaccini", Country: UK  Language: English  Release Date: 16 September 2007 (UK)             Production Co:  Hot Sauce                    Runtime: 59 min  Color: Color 
Danny Vera: Van oma's kelder tot Carré (2020) ,Documentary Biography Music ,not rated,"Pim van den Berge, Danny Vera, Jozef Leenhouwers", Country: Netherlands  Language: Dutch  Release Date: 25 December 2020 (Netherlands)             Production Co:  Omroep Zeeland                    Runtime: 47 min  Color: Color 
Humphrey Jennings: The Man Who Listened to Britain (2000) ,Documentary Biography ,6.6,"Kevin Macdonald, James Purefoy, Richard Attenborough"," Country: UK  Language: English  Release Date: 24 December 2000 (UK)             Production Co:  Channel 4 Television Corporation, Figment TV Productions                    Runtime: 50 min  Sound Mix: Stereo  Color:  Black and White , Color "
In Search of Athelstan (1981) ,Documentary Biography ,8.6,-, Country: UK  Language: English  Release Date: 19 March 1981 (UK)             Production Co:  BBC Manchester                    Color: Color 
Jean-Philippe Rameau: L'incompris magnifique (2014) ,Documentary Biography History ,not rated,"Olivier Simonnet, Olivier Simonnet, Ivan Alexandre"," Country: France  Language: French , English  Release Date: 6 June 2015 (Germany)             Also Known As: Jean-Philippe Rameau, Meister der Barockmusik                 Production Co:  ARTE, Bibliothèque Musée De L'opéra, Bibliothèque Nationale de France                    Runtime: 93 min  Color: Color  Aspect Ratio: 16 : 9     "
Emile Norman: By His Own Design (2007) ,Documentary Biography History ,7.7,"Will Parrinello, Doris Baizley, Emile Norman"," Country: USA  Language: Spanish , English  Release Date: 23 June 2008 (USA)             Filming Locations: Manhattan, New York City, New York, USA           Production Co:  The Emile Norman Documentary Project, KQED                    Runtime: 57 min             (DVD)      Color: Color ,  Black and White (archive footage)    "
Welles and Hearst (1996) ,Documentary Biography ,8.8,-," Country: USA  Language: English           Color:  Black and White , Color "
Лермонтов (2015) ,Documentary Biography Drama ,6.9,-, Country: Russia  Also Known As: Лермонтов                          Runtime: 90 min  Color: Color 
NASCAR Hall of Fame Biography: Cale Yarborough (2012) ,Documentary Biography Sport ,not rated,"Ed Mabe, Junior Johnson, Betty Jo Yarborough"," Country: USA  Language: English  Release Date: 12 April 2012 (USA)             Filming Locations: South Carolina, USA  Budget:$75,000             (estimated)  Production Co:  NASCAR Media Group                    Runtime: 45 min  Color: Color "
Die Clint Eastwood-Story (2018) ,Documentary Biography ,7.8,-, Release Date: 7 February 2018 (Germany)             Production Co:  Rachals Film                    Runtime: 48 min  Sound Mix: Stereo (Dolby 2.0)    
Lugosi: The Forgotten King (1985) ,Documentary Biography ,7.2,"Mark Gilman Jr., Dave Stuckey, Mark Gilman Jr."," Country: USA  Language: English  Release Date: 2012 (USA)             Also Known As: Bela Lugosi: The Forgotten King                 Production Co:  Operator 13 Prods.                    Runtime: 60 min , 81 min             (streaming)      Color:  Black and White , Color "
"Lino Ventura, la part intime (2018) ",Documentary Biography ,7.3,"Philippe Kohly, Michel Audiard, Brigitte Bardot", Country: France  Language: French  Release Date: 4 February 2018 (France)             Also Known As: Lino Ventura - Ganove mit Herz                 Production Co:  ARTE                   
Britney: Off the Rails (2007) ,Documentary Biography ,6.9,"Gillian Pachter, Alan McKenna, Britney Spears"," Country: UK  Language: English  Release Date: 13 June 2007 (UK)             Filming Locations: Kentwood, Louisiana, USA  Production Co:  Betty TV                    Color: Color "
Francisco de Goya: Le sommeil de la raison (2019) ,Documentary Biography History ,not rated,-," Country: France  Language: French  Release Date: 24 November 2019 (France)             Also Known As: Francisco de Goya: Der Schlaf der Vernunft                 Production Co:  Ligne de Front, Mondex&cie                    Runtime: 52 min  Color: Color  Aspect Ratio: 16 : 9     "
"Gilbert White, the Nature Man (2006) ",Documentary Biography ,not rated,"Michael Wood, Richard Mabey, Michael Wood", Country: UK  Language: English  Release Date: 2006 (UK)             Production Co:  Maya Vision International                    Color: Color 
"Belmondo, le magnifique (2017) ",Documentary Biography ,7.4,"Bruno Sevaistre, Guy Bedos, Jean-Paul Belmondo"," Country: France  Language: French  Release Date: 3 September 2017 (France)             Also Known As: Belmondo, der Unwiderstehliche                 Production Co:  ARTE                   "
Set Apart: The Jim Abbott Story (2018) ,Documentary Biography Sport ,not rated,"Mike Ramsdell, Jim Abbott, Kathy Abbott"," Country: USA  Language: English  Release Date: 14 October 2018 (USA)             Filming Locations: Flint, Michigan, USA           Production Co:  IMG, Written Out Loud                    Sound Mix: Dolby SR  Color: Color "
Salvador Dalí: Génie tragi-comique (2013) ,Documentary Biography ,6.7,"François Lévy-Kuentz, Michael Lonsdale, Salvador Dalí"," Country: France  Language: French , English  Release Date: 8 October 2013 (Netherlands)             Also Known As: Salvador Dali, geni och narr                 Production Co:  Institut National de l'Audiovisuel (INA)                    Runtime: 52 min  Color: Color ,  Black and White "
King (2008) ,Documentary Biography History ,6.9,"Juanita Abernathy, Harry Belafonte, Tom Brokaw", Official Sites: History Channel    Country: USA  Language: English  Release Date: 6 April 2008 (USA)             Production Co:  Peacock Productions                    Runtime: 94 min  Color: Color 
Right Said Fred: Fred Schepisi Film Director (1993) ,Documentary Biography ,not rated,"Don Featherstone, Stockard Channing, Fred Schepisi"," Country: Australia  Language: English  Release Date: 1993 (Australia)             Also Known As: Fred Schepisi - film director                 Production Co:  Don Featherstone Productions, Special Broadcasting Service (SBS)                    Color: Color  Aspect Ratio: 1.33 : 1     "
Malcolm and Barbara: Love's Farewell (2007) ,Documentary Biography ,7.6,"Paul Watson, Barbara Pointon, Malcolm Pointon", Country: UK  Language: English  Release Date: 8 August 2007 (UK)             Production Co:  Granada Television                    Sound Mix: Stereo (Dolby 5.1)     Color: Color  Aspect Ratio: 1.33 : 1     
The Bear: The Legend of Coach Paul Bryant (2001) ,Documentary Biography Sport ,7.4,"Steven Stern, Tom Wopat, Keith Dunnavant", Country: USA  Language: English  Release Date: 29 December 2001 (USA)             Production Co:  Black Canyon Productions                    Runtime: 90 min  Color: Color 
The Life and Legend of Jane Goodall (1990) ,Documentary Biography ,not rated,"Lynn McDevitt, Patrick Prentice, Jane Goodall"," Official Sites: National Geographic Society [United States] , National Geographic Society [United States]    Country: USA  Language: English  Release Date: 1990 (USA)             Production Co:  National Geographic Society                    Runtime: 50 min  Color: Color "
Clinton (2012) ,Documentary Biography History ,7.3,"Barak Goodman, Barak Goodman, Bill Clinton"," Official Sites: American Experience , PBS - American Experience ,           Country: USA  Language: English  Release Date: 20 February 2012 (USA)             Also Known As: Bill Clinton                 Filming Locations: USA  Production Co:  Ark Media                    Runtime: 240 min  Color: Color "
Jane Birkin... Mother of All Babes (2003) ,Documentary Biography Music ,not rated,"Gabriella Crawford, Jane Birkin, Serge Gainsbourg", Official Sites: Gabrielle Crawford's site    Country: USA  Language: English  Release Date: 2003 (USA)             Production Co:  An Amelia Films Productions                    Runtime: 52 min  Color: Color 
Zapped: Frank Zappa par Frank Zappa (2016) ,Documentary Biography ,7.3,-," Country: France  Language: French  Release Date: 2016 (France)             Also Known As: Zapped: Frank Zappa in seinen eigenen Worten                 Production Co:  Les Films du Poisson, UFA Fiction, Arte France                    Runtime: 61 min  Color: Color  Aspect Ratio: 16 : 9     "
Se minun töistäni - Matti Pellonpää (1984) ,Documentary Biography ,8.1,"Eero Tuomikoski, Eero Tuomikoski, Juuso Hirvikangas", Country: Finland  Language: Finnish  Release Date: 13 September 1984 (Finland)             Production Co:  Yleisradio (YLE)                    Runtime: 51 min  Color: Color 
Is There One Who Understands Me?: The World of James Joyce (1983) ,Documentary Biography ,8.0,"Shep Morgan, Seán O'Mórdha, Peter O'Toole"," Country: Ireland  Release Date: 15 June 1983 (USA)             Also Known As: The World of James Joyce                 Filming Locations: Dublin, County Dublin, Ireland           Production Co:  Pentacom Productions, Raidió Teilifís Éireann (RTÉ)                    Runtime: 90 min  Color: Color "
"Chabrol, l'anticonformiste (2019) ",Documentary Biography ,6.3,"Cécile Maistre, Cécile Maistre, Cécile Maistre", Official Sites: Official site    Country: France  Language: French  Release Date: 17 February 2019 (France)             Production Co:  Plan B et Compagnie                    Runtime: 57 min  Color: Color 
Essie (2018) ,Documentary Biography ,not rated,"Brook Pruitt, Brook Pruitt, Nelson Brooks", Country: USA  Language: English  Release Date: July 2018 (USA)                      Runtime: 56 min  Color: Color 
The Invention of Boris Johnson (2019) ,Documentary Biography ,not rated,"Toby Paton, Christiane Amanpour, Sam Booth", Official Sites: Official site    Country: UK  Language: English  Release Date: 17 July 2019 (UK)             Production Co:  Story Films                    Runtime: 50 min  Color: Color 
Inside the Mind of Roy Keane (2003) ,Documentary Biography Sport ,9.0,"Tony Cascarino, Jack Charlton, Alex Ferguson", Country: UK  Language: English  Release Date: 7 January 2003 (UK)                      Color: Color 
Steffi Graf - Ein Porträt (2012) ,Documentary Biography ,not rated,"Friedrich Bohnenkamp, Boris Becker, Steffi Graf", Country: Germany  Language: German  Release Date: 30 May 2012 (Germany)                      Runtime: 100 min  Color: Color 
Confucius (2015) ,Documentary Biography ,6.1,"Hugo Macgregor, Fei Deng"," Country: UK , China  Language: English , Mandarin  Release Date: 1 January 2016 (China)             Also Known As: Konfuzius                 Production Co:  Lion Television, All3Media, China Central Television Science and Education Channel                    Color: Color "
Dubois: The Quest for the Missing Link (2013) ,Documentary Biography ,not rated,"Robin Peeters, Kris Förster, Robin Peeters", Official Sites: Official site [Netherlands]    Country: Netherlands  Language: Dutch  Release Date: 20 April 2013 (Netherlands)             Production Co:  Mosasaurusfilm                    Color: Color (High Definition)    
Alex Higgins: The People's Champion (2010) ,Documentary Biography Sport ,7.7,"Jason Bernard, James Nesbitt, Bill Borrows"," Country: UK  Language: English  Release Date: 1 September 2010 (UK)             Filming Locations: Belfast, County Antrim, Northern Ireland, UK           Production Co:  BBC Sport                    Runtime: 60 min  Color: Color "
Through Joy and Beyond (1979) ,Documentary Biography ,7.3,"Bob O'Donnell, Walter Hooper, Anthony Marchington", Country: UK  Language: English  Production Co:  Lord and King Associates Inc.                    Runtime: 59 min  Color: Color 
Henry Louis Gates Jr.: Uncovering America (2019) ,Documentary Biography History ,6.1,"Bob Marty, Andrew Ames, Courtney B. Vance", Country: USA  Language: English  Release Date: 5 March 2019 (USA)             Production Co:  Inky Dinky Worldwide                    Runtime: 54 min  Color: Color 
Strange & Familiar: Architecture on Fogo Island (2015) ,Documentary Adventure Biography ,8.1,"Marcia Connolly, Katherine Knight, Todd Saunder", Official Sites: Official site    Country: Canada  Language: English  Release Date: March 2015 (Canada)                      Runtime: 52 min  Color: Color 
The Heartland Series and 10 News: For the Greater Good - Norris Dam at 80 (2016) ,Documentary Biography History ,not rated,"Steve Dean, Steve Dean, Jim Matheny"," Country: USA  Language: English  Release Date: 28 July 2016 (USA)             Filming Locations: Norris, Tennessee, USA           Production Co:  WBIR-TV                    Runtime: 55 min  Color:  Black and White , Color "
En film om Jörn Donner (2019) ,Documentary Biography ,4.9,"Alberto Herskovits, Olavi Linna, Alberto Herskovits"," Country: Sweden , Finland  Language: Swedish , Finnish  Release Date: 1 March 2019 (Finland)             Also Known As: A Film About Jörn Donner                 Filming Locations: Helsinki, Finland           Budget:EUR300,000             (estimated)  Production Co:  Altofilm, Franckforstén                    Color: Color  Aspect Ratio: 16:9 HD     "
Michael Landon (1997) ,Documentary Biography ,7.5,"Melissa Sue Anderson, Edward Asner, Dean Butler"," Country: USA  Language: English  Release Date: 29 June 1997 (USA)                      Color:  Black and White , Color "
Der Raketenmann - Wernher von Braun und der Traum vom Mond (2009) ,Documentary Biography ,7.0,"Peter Claridge, Dirk Kämper, Stefan Brauburger", Country: Germany  Language: German  Release Date: 14 July 2009 (Germany)             Filming Locations: Germany           Production Co:  Zeitsprung Entertainment                    Sound Mix: Stereo  Color: Color  Aspect Ratio: 1.78 : 1 / (high definition)     
Pornotropic: Marguerite Duras et l'illusion coloniale (2020) ,Documentary Biography ,6.5,"Nathalie Masduraud, Valérie Urréa, Romane Bohringer"," Country: France  Language: French  Release Date: 7 October 2020 (France)             Also Known As: Pornotropic: 'Heiße Küste' von Marguerite Duras                 Production Co:  Arte France, Les Batelières Productions                    Runtime: 53 min  Color: Color  Aspect Ratio: 16 : 9     "
The Doris Day Story: Everybody's Darling (1998) ,Documentary Biography ,8.6,"Kerry Jensen, Drew Casper, Doris Day", Country: USA  Language: English           Color: Color 
Lance Loud!: A Death in an American Family (2003) ,Documentary Biography Drama ,8.9,"Alan Raymond, Susan Raymond, Lance Loud"," Official Sites: Official site    Country: USA  Language: English  Release Date: 6 January 2003 (USA)             Also Known As: Lance Loud!                 Production Co:  Independent Television Service (ITVS), WETA                    Color: Color "
Toni Morrison et les fantômes de l'Amérique (2020) ,Documentary Biography ,6.7,"Claire Laborey, Toni Morrison, Angela Davis"," Country: France  Language: French  Release Date: 28 October 2020 (France)             Also Known As: Toni Morrison - Amerikas Gewissen                 Production Co:  Arte France, Roche Productions, Toute l'Histoire                    Runtime: 53 min  Color: Color  Aspect Ratio: 16 : 9     "
Judi Dench: All the World's Her Stage (2016) ,Documentary Biography ,8.3,"Francis Whately, Samantha Bond, Pierce Brosnan", Official Sites: Official Site    Country: UK  Language: English  Release Date: 30 December 2016 (UK)             Production Co:  British Broadcasting Corporation (BBC)                    Runtime: 59 min  Sound Mix: Stereo  Color: Color 
Currentzis: The Classical Rebel (2016) ,Documentary Biography Music ,not rated,-," Country: Germany , Greece , Russia  Language: English  Release Date: 11 September 2016 (Germany)                      Runtime: 53 min  Color: Color "
Cervantes contra Lope (2016) ,Documentary Biography Drama ,6.8,"Manuel Huerga, María Jaén, Manel Lucas"," Country: Spain  Language: Spanish , Catalan  Release Date: 5 December 2016 (Spain)             Production Co:  Minoria Absoluta, Onza Entertainment, Radio Televisión Española (RTVE)                    Runtime: 87 min  Color: Color "
Lucian Freud: Portraits (2004) ,Documentary Biography ,7.2,"Jake Auerbach, Nicola Bowery, Isobel Boyt"," Country: UK  Language: English  Release Date: 9 June 2004 (UK)             Also Known As: Den nøgne sandhed                 Filming Locations: Chatsworth House, Edensor, Derbyshire, England, UK           Production Co:  Jake Auerbach Films Ltd.                    Color: Color "
"In the Name of the Father, the Son and the Holy Jihad (2016) ",Documentary Biography Drama ,7.2,-," Country: France , Belgium , Syria  Language: French  Release Date: 3 May 2016 (Canada)             Also Known As: The Father, the Son and the Holy Jihad                 Production Co:  CAT & cie                    Runtime: 120 min  Color: Color "
"Mia, a Dancer's Journey (2014) ",Documentary Biography ,8.4,"Maria Ramas, Kate Johnson, Maria Ramas"," Official Sites: Official site , Official site    Country: USA  Language: English  Release Date: November 2014 (USA)             Also Known As: Mia: En dansös väg                 Filming Locations: Zagreb, Croatia           Runtime: 56 min  Color: Color "
Gena Rowlands: Unabhängig im Kino und im Leben (2018) ,Documentary Biography ,6.8,"Sabine Carbon, Sabine Carbon, Eva Gosciejewicz"," Country: Germany  Language: German , English  Release Date: 2018 (Germany)             Also Known As: Gena Rowlands, en självständig stjärna                 Filming Locations: Hollywood, Los Angeles, California, USA  Production Co:  Medea Film Factory                    Runtime: 53 min  Color: Color  Aspect Ratio: 16 : 9     "
Starring Katharine Hepburn (1981) ,Documentary Biography ,7.0,"David Heeley, John L. Miller, Katharine Hepburn"," Country: USA  Language: English  Release Date: 14 March 1981 (USA)             Production Co:  WNET Channel 13 New York                    Runtime: 120 min  Sound Mix: Mono  Color:  Black and White , Color  Aspect Ratio: 1.33 : 1     "
Egon Schiele (2018) ,Documentary Biography History ,not rated,-, Country: Germany  Language: German  Release Date: 2018 (Germany)             Production Co:  Metafilm                    Runtime: 55 min  Color: Color  Aspect Ratio: 16 : 9     
